scenario,trial,target,anchor_position,case_id,elapsed_sec,system_cpu_pct,nic_rx_Bps,nic_tx_Bps,client_block_util_pct,exit_code,local_temperature_c_before,target_temperature_c_before,local_temperature_c_after,target_temperature_c_after
remote_stress,1,local_nvme,,direct-local,14.705842803232372,0.25281880344832625,0.0,0.0,0.07480020116617987,0,37.85000000000002,22.0,36.85000000000002,23.0
remote_stress,1,remote_nof,,direct-remote,3.5614585489965975,0.2880136929938612,0.0,0.0,0.0,0,37.85000000000002,20.0,37.85000000000002,21.0
remote_stress,1,,,no_store,0.08743519196286798,0.3797185615367434,0.0,0.0,0.0,0,37.85000000000002,20.0,37.85000000000002,21.0
remote_stress,1,local_nvme,,transparent-local,14.725343402009457,0.2556591282381942,0.0,0.0,0.06791013103732016,0,36.85000000000002,23.0,36.85000000000002,24.0
remote_stress,1,remote_nof,,transparent-remote,3.5363682457245886,0.2994475138121547,0.0,0.0,0.0,0,37.85000000000002,22.0,36.85000000000002,23.0
remote_stress,2,local_nvme,,direct-local,13.686615145765245,0.25478998025912925,0.0,0.0,0.08037049250561774,0,36.85000000000002,25.0,36.85000000000002,26.0
remote_stress,2,remote_nof,,direct-remote,3.5608373982831836,0.3007716879438852,0.0,0.0,0.0,0,36.85000000000002,21.0,36.85000000000002,21.0
remote_stress,2,,,no_store,0.09213246405124664,0.5084745762711864,0.0,0.0,0.0,0,36.85000000000002,22.0,36.85000000000002,23.0
remote_stress,2,local_nvme,,transparent-local,14.684736032038927,0.2527782323351254,0.0,0.0,0.08171750567268345,0,36.85000000000002,24.0,36.85000000000002,25.0
remote_stress,2,remote_nof,,transparent-remote,3.5383374472148716,0.29104444640805865,0.0,0.0,0.0,0,36.85000000000002,21.0,36.85000000000002,21.0
remote_stress,3,local_nvme,,direct-local,14.69501823792234,0.2575219132934221,0.0,0.0,0.08846535464959047,0,36.85000000000002,22.0,36.85000000000002,23.0
remote_stress,3,remote_nof,,direct-remote,3.5209423690102994,0.2974538835490244,0.0,0.0,0.0,0,37.85000000000002,20.0,37.85000000000002,21.0
remote_stress,3,,,no_store,0.08889135206118226,0.5052724077328646,0.0,0.0,0.0,0,36.85000000000002,21.0,36.85000000000002,21.0
remote_stress,3,local_nvme,,transparent-local,14.69930933881551,0.2497238949485069,0.0,0.0,0.09524257009158321,0,36.85000000000002,24.0,36.85000000000002,24.0
remote_stress,3,remote_nof,,transparent-remote,3.5616754977963865,0.27152001843044976,0.0,0.0,0.0,0,37.85000000000002,22.0,37.85000000000002,23.0
remote_stress,4,local_nvme,,direct-local,14.71430810727179,0.25000962596807363,0.0,0.0,0.08155327394612334,0,36.85000000000002,25.0,36.85000000000002,26.0
remote_stress,4,remote_nof,,direct-remote,2.5174185200594366,0.28798534457330044,0.0,0.0,0.0,0,36.85000000000002,21.0,36.85000000000002,21.0
remote_stress,4,,,no_store,0.0885559618473053,0.4189636163175303,0.0,0.0,0.0,0,36.85000000000002,22.0,36.85000000000002,23.0
remote_stress,4,local_nvme,,transparent-local,14.705267772078514,0.2564126410103455,0.0,0.0,0.14280596807542362,0,36.85000000000002,24.0,36.85000000000002,25.0
remote_stress,4,remote_nof,,transparent-remote,3.5263076717965305,0.28042873452376993,0.0,0.0,0.0,0,37.85000000000002,21.0,36.85000000000002,21.0
idle_anchor,,local_nvme,pre,direct-local,14.689243503846228,0.058376184644270954,0.0,0.0,0.08850013274404556,0,35.85000000000002,19.0,35.85000000000002,19.0
idle_anchor,,local_nvme,pre,transparent-local,14.729260602965951,0.05490337536403325,0.0,0.0,0.08825969171447928,0,35.85000000000002,19.0,35.85000000000002,19.0
idle_anchor,,local_nvme,post,direct-local,14.739697429351509,0.051286332788664526,0.0,0.0,0.08819719714268213,0,36.85000000000002,20.0,36.85000000000002,20.0
idle_anchor,,local_nvme,post,transparent-local,14.68238304136321,0.06359385082053363,0.0,0.0,0.04767618431067763,0,36.85000000000002,20.0,36.85000000000002,20.0
idle_anchor,,remote_nof,pre,direct-remote,3.5342257050797343,0.08844176662428832,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
idle_anchor,,remote_nof,pre,transparent-remote,2.546255844179541,0.12274927693004059,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
idle_anchor,,remote_nof,post,direct-remote,3.527894912287593,0.09246493807063878,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
idle_anchor,,remote_nof,post,transparent-remote,2.512168748304248,0.12287305191775283,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
